Ranking,Name,Category,Followers,,,,,,
1,Ayeza khan,Actor,8.1M,,,,,,
2,Aiman khan,Actor,8M,,,,,,
3,Mahira Khan,Actor,7M,,,,,,
4,Sajal ahad mir,Actor,6.9M,,,,,,
5,Minal khan,Actor,6.6M,,,,,,
6,Mawra hocane(mawrellous),Actor,6.2M,,,,,,
7,sarah khan(Mrs falak),Actor,6M,,,,,,
8,Hina altaf,Actor,5.8M,,,,,,
9,Atif Aslam,Singer/Musician,5.4M,,,,,,
10,Iqra Aziz,Actor,5.3M,,,,,,
11,Imran Khan,Politician,5M,,,,,,
12,Imran abbas,Actor,4.3M,,,,,,
13,Kinza hashmi,Actor,4.2M,,,,,,
14,Mehwish hayat,Actor,4.1M,,,,,,
15,Hania amir,Actor,3.7M,,,,,,
16,Maria b,Fashion brand,3.4M,,,,,,
17,Aima Baig,Actor,3M,,,,,,
18,Zaidalit,Actor,2.8M,,,,,,
19,Kashees official,Beauty palour,2.8M,,,,,,
20,Momal Sheikh,Actor,2.5M,,,,,,
21,Humtvpakistan,Media Channel,2.5M,,,,,,
22,Ary Digital,Media Channel,2.2M,,,,,,
23,J.Junaidjamshed,Fashion brand,2.1M,,,,,,
24,limelight.pret,Kids Fashion,2.1M,,,,,,
25,Asim Azhar,Singer,2M,,,,,,
26,Nimra Khan,Actor,2.1M,,,,,,
27,Sapphirepakistan,Fashion brand,2M,,,,,,
